inventor_id,name,country
fl:ro_ln:alini-1,Roberto Alini,US
fl:jo_ln:buysman-2,John Jason Buysman,US
fl:ru_ln:shi-10,Ruiwen Shi,CN
fl:ca_ln:phillips-22,Cary Phillips,US
000fjkbab9nljqyqpy20ktebx,Seved Ahmad Mojahed Gomnam,US
fl:sr_ln:punna-1,Sreenivas Punna,US
fl:mi_ln:grogan-1,Michael J. Grogan,US
fl:mi_ln:moore-11,Michael Edward Moore,ZA
fl:ma_ln:horiguchi-17,Mari Horiguchi,JP
fl:se_ln:jurdana-1,Sergio Jurdana,CA
fl:ja_ln:choi-156,Jaeman Choi,KR
fl:ma_ln:barker-12,Mario John Barker,AU
fl:ha_ln:takahashi-28,Haruhiko Takahashi,JP
fl:ki_ln:han-39,Ki-Young Han,KR
fl:jo_ln:puryear-2,John W. Puryear,US
fl:da_ln:murti-1,Dasarao K. Murti,CA
fl:ja_ln:tour-1,James M. Tour,US
fl:pi_ln:payraud-1,Pierre Payraud,FR
fl:te_ln:asayama-1,Tetsuya Asayama,JP
fl:ka_ln:lee-173,Kang Hyun Lee,KR
fl:ma_ln:zeiler-4,Martin Zeiler,DE
fl:le_ln:kononov-1,Leon Kononov,US
fl:mo_ln:sato-1,Moriyuki Sato,JP
fl:mo_ln:hassan-32,Morris Hassan,US
fl:wa_ln:barnette-2,Wayne D. Barnette,US
fl:em_ln:watanabe-2,Emi Watanabe,JP
fl:xi_ln:zhang-560,Xin Zhang,CN
fl:pe_ln:hovell-1,Peter Hovell,GB
fl:mi_ln:chen-252,Ming Chen,CN
fl:ar_ln:pun-1,Arthur Fong-Yuen Pun,US
fl:pr_ln:mehta-23,Pranav Mehta,US
fl:mi_ln:boraas-1,Michael A. Boraas,US
000hl8sepandlrjbxh7oea7wh,John Riso,US
fl:ar_ln:wojtalik-1,Artur Wojtalik,PL
fl:ta_ln:toida-4,Takumi TOIDA,JP
fl:st_ln:weinstein-1,Stephen B. Weinstein,US
fl:al_ln:hagemeyer-1,Alfred Hagemeyer,US
fl:ni_ln:manaresi-2,Nicolò Manaresi,IT
fl:to_ln:konuma-2,Toshimitsu Konuma,JP
fl:ra_ln:dongara-3,Rajeshwer Dongara,IN
fl:he_ln:huber-5,Helmuth Huber,DE
fl:ro_ln:tench-1,Robert J. Tench,US
fl:pa_ln:conlan-1,Patrick Conlan,US
fl:ra_ln:bordawekar-2,Rajesh Bordawekar,US
fl:ha_ln:xu-119,Hao Xu,US
fl:al_ln:lacour-2,Alain P. Lacour,FR
fl:an_ln:besana-1,Andrea Besana,IT
fl:ma_ln:kanda-11,Masakazu Kanda,JP
fl:ta_ln:konishi-35,Takayoshi Konishi,JP
fl:ka_ln:teichert-1,Katrin Teichert,DE
fl:ji_ln:zhang-632,Jian Zhang,CN
fl:ca_ln:kreuzer-1,Carsten Heinrich Kreuzer,DE
fl:ya_ln:kanou-4,Yasuaki Kanou,JP
fl:su_ln:kochhar-1,Sunil Kochhar,CH
fl:pi_ln:stenuick-1,Pierre Stenuick,BE
fl:ya_ln:akatsuka-1,Yasumasa Akatsuka,JP
fl:ch_ln:yang-1373,Chui Woong Yang,KR
000jdp4dd6gu6ah3gvb1u0biq,Hiroshi Kuwako,JP
fl:ro_ln:allaire-1,Roger A. Allaire,US
fl:mo_ln:elidrissi-1,Moulay Rachid Elidrissi,SG
fl:cu_ln:chen-26,Cuihong Chen,CN
fl:ta_ln:kim-402,Taehyun Kim,KR
fl:mu_ln:krishnan-8,Murali R. Krishnan,US
fl:pi_ln:degroef-1,Pierre De Groef,BE
fl:ja_ln:fleischer-1,James F. Fleischer,US
fl:he_ln:madan-3,Herb. S. Madan,US
fl:do_ln:kubicek-1,Donald H. Kubicek,US
fl:ha_ln:yu-196,Haifeng Yu,CN
fl:ma_ln:muramatsu-5,Makoto Muramatsu,JP
fl:da_ln:skidmore-1,David A. Skidmore,US
fl:mi_ln:habig-1,Michael M. Habig,US
fl:yu_ln:itou-6,Yuichi Itou,JP
fl:ju_ln:wang-161,Jun Wang,CN
fl:ra_ln:yarlagadda-2,Ramesh Yarlagadda,US
fl:da_ln:chan-49,Danny Chan,US
fl:th_ln:petit-1,Thomas J. Petit,US
fl:da_ln:gist-1,David Ryan Gist,US
fl:ja_ln:birk-2,Janel A. Birk,US
fl:ja_ln:kong-3,Jackson Chung Peng Kong,MY
fl:me_ln:campbell-5,Melody G. Campbell,US
fl:mi_ln:boisclair-1,Michel Boisclair,CA
fl:be_ln:bierbaumer-1,Benjamin Bierbaumer,AT
fl:ja_ln:lindenauer-1,Jay Lindenauer,US
fl:zh_ln:shi-37,Zhifeng SHI,CN
fl:jo_ln:kramer-17,Joachim Ernst Kramer,AT
fl:yo_ln:kim-627,Youn Tae Kim,KR
fl:ta_ln:li-34,Tat Wah Li,CN
fl:pa_ln:bertics-1,Paul J. Bertics,US
fl:ju_ln:kwon-38,Jun Seok Kwon,KR
fl:ti_ln:ji-7,Tingfang Ji,US
fl:iv_ln:lobatohoyos-1,Ivan Pedro Lobato Hoyos,BE
fl:hi_ln:inoue-62,Hiroshi Inoue,JP
fl:mu_ln:sawada-3,Munenori Sawada,JP
fl:ke_ln:stockmeier-2,Kevin C. Stockmeier,US
fl:ur_ln:sonnewald-1,Ursula Sonnewald,DK
fl:sh_ln:siddiqui-14,Shahab Siddiqui,US
fl:ra_ln:kumar-94,Ravinder Kumar,IN
fl:je_ln:satterfield-2,Jesse Clay Satterfield,US
