patent_id,inventor_id
10058892,fl:se_ln:taffler-1
8424071,fl:ma_ln:awad-4
8948801,fl:je_ln:schmidt-12
11977711,fl:cr_ln:noeldner-1
6116259,fl:er_ln:berger-4
H1236,fl:sc_ln:elwood-1
5368472,fl:ja_ln:hovis-1
8726115,fl:my_ln:hunukumbure-1
7114173,fl:er_ln:urdang-1
7566027,fl:de_ln:kurschner-2
H1124,fl:da_ln:yu-50
6049313,fl:mo_ln:sawada-1
10951690,fl:sa_ln:srinivasan-17
7473560,fl:st_ln:soldin-1
11444369,fl:yi_ln:tseng-6
11041427,fl:yo_ln:matsuda-49
D650109,fl:ro_ln:soler-3
6818327,fl:hi_ln:ikeda-32
10999714,fl:nu_ln:rosly-1
10162261,fl:su_ln:lee-469
D1035611,fl:ta_ln:nara-5
3956285,fl:fr_ln:weisenborn-1
12038126,fl:th_ln:kaiser-5
10617402,fl:br_ln:tockman-1
8348709,fl:ma_ln:baker-61
9268695,fl:ho_ln:simionescu-1
5229484,fl:ju_ln:koch-9
8635040,fl:ko_ln:nose-4
11231168,fl:ch_ln:li-887
7298882,fl:er_ln:ruhrnschopf-1
9866824,fl:wi_ln:bruls-8
7307986,fl:al_ln:henderson-19
9223760,fl:wa_ln:malkin-2
10698738,fl:sh_ln:li-490
4330526,fl:hi_ln:watanabe-59
5865713,fl:ha_ln:hsu-68
D492623,fl:ro_ln:hurd-6
12352283,fl:hi_ln:nagao-18
5444846,fl:na_ln:nagashima-3
5075303,fl:ri_ln:todd-3
7473133,fl:ge_ln:zhang-60
10331319,fl:sy_ln:galineau-1
8909582,fl:sa_ln:morinaga-3
7779367,fl:ma_ln:oshiro-11
10911193,fl:ji_ln:choi-278
5876815,fl:ti_ln:hartjes-1
6404762,fl:da_ln:meyer-50
5183644,fl:ja_ln:andersson-5
7271570,fl:de_ln:stephens-2
9788546,fl:me_ln:siebert-1
D1107634,fl:er_ln:townsend-4
6327180,fl:ta_ln:taura-2
7700371,fl:he_ln:gaub-2
7160600,fl:ge_ln:provost-1
4396387,fl:da_ln:motov-1
D725505,fl:ho_ln:jaeschke-1
7266526,fl:bo_ln:cichon-1
12312536,fl:st_ln:yu-18
12273757,fl:su_ln:jung-217
9982330,fl:de_ln:hsu-7
6460632,fl:ro_ln:crook-2
11224593,fl:ne_ln:joshi-7
10658474,fl:ku_ln:tzeng-1
9589072,fl:sa_ln:khan-54
5340679,fl:ar_ln:henry-2
4551565,fl:ta_ln:uda-13
5358071,000c0a89h3umx2083c1fhf6sc
6466566,fl:lu_ln:fanucci-1
D520786,fl:jo_ln:ferrerbeltran-2
12165353,fl:an_ln:sundstrom-1
11617187,fl:sa_ln:ganu-2
7904277,fl:ri_ln:schatzberger-1
12179842,fl:ha_ln:bodin-1
11595705,fl:sh_ln:o'malley-2
8908127,fl:ki_ln:cho-59
11262090,fl:ke_ln:shull-2
11528824,fl:lu_ln:lopezmoreno-1
9658151,fl:ma_ln:liphardt-2
11384864,fl:yo_ln:yamada-56
5706410,fl:jo_ln:baker-78
6049464,fl:fr_ln:garbelli-1
5559840,fl:ro_ln:rutledge-2
10891115,fl:pa_ln:koptilin-1
4943630,fl:je_ln:jacquinet-1
6293311,fl:an_ln:auvil-2
7761851,fl:st_ln:hunt-10
D1003337,fl:an_ln:tang-15
11609753,fl:mi_ln:samuel-5
7530085,fl:ez_ln:darshan-1
10906348,fl:ri_ln:peres-1
7464686,fl:yu_ln:oda-7
12024523,fl:la_ln:ulander-2
D1085032,fl:ky_ln:lee-627
8863259,fl:ju_ln:takagi-11
11893068,fl:yo_ln:jun-66
4834735,fl:mi_ln:alemany-1
4305475,fl:ro_ln:wacker-1
8927555,fl:da_ln:neff-1
11461267,fl:yi_ln:wang-136
6340931,fl:be_ln:harrison-2
5879927,fl:ba_ln:vanhell-1
D523440,fl:pa_ln:kalyanapu-1
10644314,fl:gl_ln:amatucci-1
8812713,fl:ja_ln:delker-2
10105334,fl:wi_ln:meng-1
4359283,fl:th_ln:mcclellan-3
12074586,fl:gu_ln:weng-7
7449934,fl:ji_ln:park-190
5193174,000f0k6brgval6kr9agzjlgcg
9310547,fl:yo_ln:son-144
5970732,000f3mi5t5lpa1ch45ncsfqtz
11493499,fl:ra_ln:venkataramani-1
11407819,fl:ya_ln:ko-1
11708101,fl:vi_ln:ramamoorthy-2
7856699,fl:bo_ln:ormsbee-1
6252450,fl:ro_ln:alini-1
10850064,fl:jo_ln:buysman-2
10789037,fl:ru_ln:shi-10
9256973,fl:ca_ln:phillips-22
5922953,000fjkbab9nljqyqpy20ktebx
10828285,fl:sr_ln:punna-1
9149465,fl:mi_ln:grogan-1
D581611,fl:mi_ln:moore-11
7411950,fl:ma_ln:horiguchi-17
D784590,fl:se_ln:jurdana-1
10862110,fl:ja_ln:choi-156
D423279,fl:ma_ln:barker-12
5828387,fl:ha_ln:takahashi-28
8693422,fl:ki_ln:han-39
4830308,fl:jo_ln:puryear-2
5030533,fl:da_ln:murti-1
8592791,fl:ja_ln:tour-1
11326911,fl:pi_ln:payraud-1
10629805,fl:te_ln:asayama-1
9105616,fl:ka_ln:lee-173
7934604,fl:ma_ln:zeiler-4
5366171,fl:le_ln:kononov-1
4226980,fl:mo_ln:sato-1
9103076,fl:mo_ln:hassan-32
7762725,fl:wa_ln:barnette-2
8182343,fl:em_ln:watanabe-2
11314830,fl:xi_ln:zhang-560
8046452,fl:pe_ln:hovell-1
11323566,fl:mi_ln:chen-252
11742302,fl:ar_ln:pun-1
7710899,fl:pr_ln:mehta-23
8900503,fl:mi_ln:boraas-1
6343708,000hl8sepandlrjbxh7oea7wh
11643132,fl:ar_ln:wojtalik-1
10494358,fl:ta_ln:toida-4
4827518,fl:st_ln:weinstein-1
11253839,fl:al_ln:hagemeyer-1
10376878,fl:ni_ln:manaresi-2
5999241,fl:to_ln:konuma-2
9982200,fl:ra_ln:dongara-3
4977930,fl:he_ln:huber-5
9536571,fl:ro_ln:tench-1
9291306,fl:pa_ln:conlan-1
11847113,fl:ra_ln:bordawekar-2
12218424,fl:ha_ln:xu-119
4639452,fl:al_ln:lacour-2
D888267,fl:an_ln:besana-1
7269900,fl:ma_ln:kanda-11
5235608,fl:ta_ln:konishi-35
10431333,fl:ka_ln:teichert-1
8904488,fl:ji_ln:zhang-632
9044359,fl:ca_ln:kreuzer-1
8635870,fl:ya_ln:kanou-4
10094819,fl:su_ln:kochhar-1
4241800,fl:pi_ln:stenuick-1
6812318,fl:ya_ln:akatsuka-1
11601405,fl:ch_ln:yang-1373
5884643,000jdp4dd6gu6ah3gvb1u0biq
5049329,fl:ro_ln:allaire-1
9048987,fl:mo_ln:elidrissi-1
D1031386,fl:cu_ln:chen-26
11977384,fl:ta_ln:kim-402
7175072,fl:mu_ln:krishnan-8
3990661,fl:pi_ln:degroef-1
5349922,fl:ja_ln:fleischer-1
4868818,fl:he_ln:madan-3
5733836,fl:do_ln:kubicek-1
11153804,fl:ha_ln:yu-196
11315784,fl:ma_ln:muramatsu-5
10329911,fl:da_ln:skidmore-1
D819127,fl:mi_ln:habig-1
9184446,fl:yu_ln:itou-6
11184770,fl:ju_ln:wang-161
12301558,fl:ra_ln:yarlagadda-2
10979810,fl:da_ln:chan-49
4856543,fl:th_ln:petit-1
11473761,fl:da_ln:gist-1
10932935,fl:ja_ln:birk-2
11527467,fl:ja_ln:kong-3
11608378,fl:me_ln:campbell-5
11529834,fl:mi_ln:boisclair-1
10385738,fl:be_ln:bierbaumer-1
11863984,fl:ja_ln:lindenauer-1
D998890,fl:zh_ln:shi-37
9426957,fl:jo_ln:kramer-17
11134843,fl:yo_ln:kim-627
D802028,fl:ta_ln:li-34
8569043,fl:pa_ln:bertics-1
11346576,fl:ju_ln:kwon-38
10205618,fl:ti_ln:ji-7
12505516,fl:iv_ln:lobatohoyos-1
6079633,fl:hi_ln:inoue-62
7804477,fl:mu_ln:sawada-3
10384724,fl:ke_ln:stockmeier-2
5214057,fl:ur_ln:sonnewald-1
11961895,fl:sh_ln:siddiqui-14
10587356,fl:ra_ln:kumar-94
9329774,fl:je_ln:satterfield-2
8765067,fl:li_ln:wang-449
11823674,fl:pi_ln:furman-1
11706840,fl:vi_ln:nagarajan-1
6881814,fl:bo_ln:zapletal-1
11031357,fl:ko_ln:in-1
D340040,fl:mi_ln:gifford-5
10260182,fl:ja_ln:thompson-32
8684938,fl:ta_ln:katoh-25
12278219,fl:pe_ln:andrews-5
7210239,fl:se_ln:otsubo-1
6337758,fl:fa_ln:beteille-1
10245607,fl:jo_ln:mcmichael-6
9299064,fl:ja_ln:chein-1
7368089,fl:ja_ln:boggs-2
5344180,fl:je_ln:merino-1
8427745,fl:to_ln:matsuda-38
5639719,fl:ma_ln:tanaka-91
9996298,fl:wi_ln:starke-3
8499261,fl:mi_ln:chih-2
7031778,fl:st_ln:sunshine-3
11648850,fl:ji_ln:cho-16
7764754,fl:jo_ln:ketchum-2
11508592,fl:sh_ln:lin-405
6455973,fl:wi_ln:loxsom-1
12159904,fl:ts_ln:yu-50
5090803,fl:la_ln:ames-1
7557112,fl:ma_ln:hayakawa-11
5378506,fl:ge_ln:steiniger-1
8241945,fl:vi_ln:chandrasekaran-2
11762004,fl:st_ln:burstrom-1
9017573,fl:pa_ln:burrows-2
8756181,fl:li_ln:du-30
8136741,fl:mi_ln:mennicken-1
D466884,fl:ji_ln:clayton-2
12035552,fl:mi_ln:kim-311
9449703,fl:an_ln:roy-16
10400431,fl:dr_ln:jeremic-1
12036102,fl:ma_ln:rossetti-3
8366516,fl:mi_ln:lin-81
4914657,fl:al_ln:finn-1
8857015,fl:mi_ln:hufen-1
8767606,fl:su_ln:chun-22
10700946,fl:al_ln:goldner-1
5502296,fl:sh_ln:sato-30
10118164,fl:fr_ln:klose-1
4172314,fl:jo_ln:zupan-1
9307912,fl:mi_ln:anson-1
11230789,fl:ki_ln:suzuki-35
5286723,fl:yo_ln:kimura-10
9520617,fl:em_ln:cooper-4
7011404,fl:lu_ln:michas-2
5660230,fl:ch_ln:obosu-1
D658365,fl:we_ln:schiffman-1
5280576,fl:ch_ln:cao-111
10392588,fl:al_ln:brooker-1
7625262,fl:no_ln:nambu-1
11574048,fl:te_ln:tang-13
8386646,fl:jo_ln:heinke-1
10467790,fl:mo_ln:soni-3
D813187,fl:ka_ln:prevratil-1
6461196,fl:ge_ln:lysy-1
9150230,fl:jo_ln:panigot-1
7713837,fl:ke_ln:chan-25
6258426,fl:ta_ln:fukuoka-15
4717810,fl:fe_ln:schreder-2
7334238,fl:yu_ln:tanaka-37
9044485,fl:ni_ln:damour-2
11559309,fl:wi_ln:patterson-6
6167196,fl:ko_ln:kaplanis-1
7830068,fl:to_ln:nagano-7
7137806,fl:de_ln:babin-2
12071734,fl:ho_ln:chen-206
9539939,fl:co_ln:gardner-1
9212113,fl:in_ln:stuckert-1
7757048,fl:de_ln:wong-19
PP14961,000rzeceuzox3ciyjtnl2qzx0
RE44215,fl:sh_ln:saito-18
7724478,fl:sh_ln:tsuda-23
11080770,fl:ja_ln:lewin-2
7272737,fl:yo_ln:namizuka-1
10289357,fl:ke_ln:fukushima-16
6411248,000s9qy0x4l3x4n99bv2a1qn4
4206037,fl:je_ln:bernard-11
12447883,fl:se_ln:schmitt-3
10347513,fl:ku_ln:ulmer-2
9498306,fl:ig_ln:skvirsky-1
7696193,fl:da_ln:wilson-62
7235820,fl:se_ln:chae-30
5425934,fl:sr_ln:komarneni-1
9249594,fl:ro_ln:caruso-3
7063107,fl:th_ln:loga-1
12077526,fl:jo_ln:priede-1
10651754,fl:pu_ln:shah-11
6293982,fl:ma_ln:imafuku-2
9772543,fl:da_ln:basulto-1
12451819,fl:mi_ln:huang-125
11107706,fl:xi_ln:wu-313
10606665,fl:so_ln:carlson-1
5293312,fl:ro_ln:waggener-1
5189143,fl:ka_ln:sawada-27
D1024326,fl:ju_ln:sauer-5
D294936,fl:ro_ln:brill-2
12199252,fl:ka_ln:fink-4
5964728,fl:po_ln:lin-79
5626037,fl:ke_ln:jeffcoat-2
9598889,fl:ch_ln:ulrich-1
8753225,fl:ke_ln:kim-115
10604410,fl:eu_ln:kim-77
D718675,fl:ma_ln:sperling-4
D691023,000ua1xlntucefomeaptsceea
9664619,fl:da_ln:weitz-1
8929301,fl:be_ln:pelletier-5
5503968,fl:jo_ln:lee-390
8022451,fl:sh_ln:nakamura-89
7029440,fl:jo_ln:daniel-22
4518683,fl:ke_ln:ito-37
12492429,fl:st_ln:sigurjonsson-3
7770023,fl:gi_ln:yuval-1
D371396,fl:ja_ln:lee-305
7634403,fl:da_ln:johnston-32
11662335,fl:ro_ln:macneill-1
9582815,fl:al_ln:watfa-1
12417061,fl:yi_ln:zheng-23
8514560,fl:ch_ln:wu-293
6739954,fl:ma_ln:stocker-3
10668217,fl:an_ln:mansencal-1
10983635,fl:yo_ln:kobayashi-77
12274617,fl:fr_ln:duhay-1
3956923,fl:hu_ln:thompson-4
7696967,fl:ji_ln:lee-73
11435697,fl:fl_ln:cosandier-1
4247314,fl:ra_ln:wynn-2
4408395,fl:ma_ln:tell-2
12031987,fl:ki_ln:kovi-1
11107094,fl:hi_ln:iimura-1
9072296,fl:ga_ln:rayburn-1
10870674,fl:ma_ln:kupryushkin-1
10541042,fl:jo_ln:mola-2
12208154,fl:ni_ln:stebbins-2
10176553,fl:we_ln:ji-29
10572501,fl:he_ln:candello-1
D537961,fl:ro_ln:chaput-3
7913340,fl:jo_ln:kim-196
11505685,fl:to_ln:edwards-1
8894861,fl:jo_ln:baldridge-2
D1103448,fl:ji_ln:wu-468
12092181,fl:ju_ln:barthelme-3
8229871,fl:to_ln:woolf-1
10144876,fl:sh_ln:vandermerwe-1
11524924,fl:ji_ln:gu-59
8393893,fl:al_ln:knoch-2
10803790,fl:jo_ln:kang-44
4655028,fl:pe_ln:silbernagel-1
10940380,fl:ri_ln:beaver-4
7737338,fl:da_ln:mies-1
12005080,fl:yo_ln:ling-1
9903531,fl:ku_ln:chen-263
8955041,fl:ma_ln:yamada-53
8480197,fl:hi_ln:uemura-17
8538576,fl:ch_ln:cheng-471
7746337,fl:os_ln:sengoku-1
6699853,fl:ma_ln:kern-24
12226818,fl:ho_ln:zhang-135
RE47715,fl:di_ln:haerle-1
11277284,fl:hy_ln:kwon-188
7495897,fl:ak_ln:yokawa-1
6969729,fl:ti_ln:jrgensen-2
12332513,fl:na_ln:kim-43
8669318,fl:to_ln:nishimoto-3
4726023,fl:jo_ln:carter-28
9968169,fl:pe_ln:tu-11
4853921,fl:ha_ln:takeda-7
5093389,fl:ch_ln:shimizu-8
5447819,fl:fr_ln:coms-1
7865010,fl:tu_ln:le-27
9053259,fl:ya_ln:lai-18
5653654,fl:ge_ln:davis-46
7045593,fl:sh_ln:yokoyama-2
7955407,fl:h._ln:morgan-1
5870325,fl:li_ln:gardner-3
4935475,fl:hi_ln:yamaguchi-20
4407087,fl:pe_ln:huse-1
10090923,fl:yu_ln:takita-5
5422494,fl:ja_ln:staron-3
8059449,fl:ch_ln:chen-208
7756674,fl:th_ln:young-20
10883384,fl:al_ln:bourdais-1
6381624,fl:pa_ln:thayer-6
8411477,fl:gu_ln:sandhu-15
11950784,fl:ru_ln:seiber-2
11989657,fl:ni_ln:chavoshi-1
11793968,fl:je_ln:canady-1
7408326,fl:ga_ln:elder-1
12450181,fl:mi_ln:son-34
12374708,fl:th_ln:strasserkrauss-1
7944356,fl:jo_ln:tuttle-6
4993763,fl:te_ln:tanimoto-5
12414845,fl:ed_ln:peire-1
7598930,fl:je_ln:choi-156
4490020,fl:ha_ln:sakaguchi-1
5985637,fl:sh_ln:iwahara-1
7995614,fl:yo_ln:ogawa-15
11831882,fl:ya_ln:ma-108
8728360,fl:ch_ln:hayashi-10
4824841,fl:lu_ln:pavesi-1
8859877,fl:yu_ln:fujiwara-9
D250736,fl:er_ln:stern-6
11279031,fl:ku_ln:yamamoto-12
11482092,fl:me_ln:beveridge-1
12165639,fl:ch_ln:garg-4
3941478,fl:ro_ln:seymour-10
12233151,fl:ti_ln:carle-1
9672880,fl:ti_ln:buck-1
10242288,fl:pi_ln:li-38
8134071,fl:vo_ln:aue-1
10306307,fl:ja_ln:young-29
6731852,fl:hi_ln:matsuura-26
D959520,fl:ch_ln:su-187
11154058,fl:ma_ln:weiss-22
6897980,fl:to_ln:ochiai-8
6786770,fl:ch_ln:huang-466
5152514,fl:mu_ln:meetze-1
10627976,fl:jo_ln:masterson-8
5133378,0012xd77vu26r5ij34ouqupie
4740337,fl:ro_ln:hanson-17
10299811,fl:ja_ln:mcnamara-1
7078194,fl:qi_ln:wang-271
4399203,fl:ph_ln:bennett-2
10061091,fl:da_ln:verheyden-2
9279277,fl:do_ln:attanasio-1
8115228,fl:vi_ln:mercier-1
10335768,fl:se_ln:hong-163
9956154,fl:th_ln:benvegnu-1
4808592,fl:pe_ln:nelson-8
5738801,fl:be_ln:ziegler-5
8462537,fl:gi_ln:spadini-2
12211848,fl:ru_ln:xie-13
9096359,fl:fa_ln:pucci-1
D685938,fl:jo_ln:baker-24
8527980,fl:ch_ln:stich-2
6505557,fl:te_ln:desaulniers-1
7742553,fl:kh_ln:bataineh-1
6142975,fl:da_ln:anderson-91
10267185,fl:ke_ln:wilkes-1
8031420,fl:yu_ln:lee-176
10032524,fl:ja_ln:sabde-1
4347812,fl:to_ln:kosuda-1
6787425,fl:tr_ln:hurd-3
10237534,fl:di_ln:offenberg-1
9680042,fl:sv_ln:lamprecht-1
9263451,fl:ta_ln:ohnuki-6
11840772,fl:ry_ln:terry-1
9879726,fl:ju_ln:reingen-1
9944308,fl:ka_ln:hehle-1
9329372,fl:ka_ln:shimomura-10
11926708,fl:ky_ln:ford-4
7658765,fl:ch_ln:tarapata-2
11284075,fl:hi_ln:egilmez-1
12151994,fl:ph_ln:pagnier-1
11396231,fl:ma_ln:kuhl-6
11494772,fl:mi_ln:james-22
8393645,fl:mi_ln:wiseman-3
11482662,fl:to_ln:nishihara-5
D617687,fl:da_ln:poirier-4
9158352,fl:ri_ln:crisp-2
6389197,fl:vl_ln:iltchenko-1
6150163,fl:ja_ln:hanlon-8
D254137,fl:th_ln:kimble-1
11039814,fl:ja_ln:bryzek-2
10108762,fl:cl_ln:feger-1
10959687,fl:er_ln:losty-1
5564548,fl:bo_ln:dobbins-1
5415005,fl:fr_ln:sterber-1
11818176,fl:si_ln:yang-79
10077187,fl:yi_ln:chang-98
8853623,fl:an_ln:verenchikov-1
12394954,fl:br_ln:fang-1
4484963,fl:st_ln:anctil-1
10700896,fl:ke_ln:song-5
10613228,fl:jo_ln:godbaz-1
9707561,fl:jo_ln:matear-1
6335031,fl:bo_ln:asmussen-1
D691513,fl:ni_ln:baurain-1
10122472,fl:br_ln:wall-6
4121073,fl:fe_ln:garcia-21
D1005753,fl:ji_ln:tong-21
D1016917,fl:ji_ln:zhu-407
11154229,fl:ra_ln:gavas-1
9758380,fl:ji_ln:park-337
9519860,fl:pa_ln:dlugosch-1
9238664,fl:ka_ln:tsuchida-22
5085035,fl:ed_ln:lomax-1
6954432,fl:de_ln:oxley-2
8301861,fl:ti_ln:swatosh-1
5089917,fl:ke_ln:kanota-1
7447452,fl:er_ln:hamby-1
7222671,fl:jo_ln:brown-72
10686852,fl:di_ln:gowda-1
4824933,fl:ed_ln:ostlinning-1
6578748,fl:ka_ln:aihara-11
10352732,fl:jo_ln:eckrich-2
6995213,fl:ma_ln:miller-129
12417557,fl:ta_ln:lee-57
6818760,fl:am_ln:springer-1
5754522,fl:sh_ln:uehara-13
5492776,fl:an_ln:hrycin-1
6279158,fl:je_ln:brede-1
11722367,fl:mo_ln:parthasarathy-1
9140276,fl:va_ln:griffiths-1
7566784,fl:zh_ln:cai-16
11021607,fl:ad_ln:zambova-1
10858005,fl:da_ln:wishin-1
10758118,fl:ho_ln:chen-36
D752965,fl:mi_ln:blaney-1
D763725,fl:mi_ln:silvanto-3
4990494,fl:an_ln:narula-1
11194578,fl:cl_ln:kucharski-1
D1067085,fl:ja_ln:gilley-1
9338200,fl:hy_ln:kang-159
12376372,fl:mi_ln:yeh-39
5883393,fl:fu_ln:tien-1
6192941,fl:pa_ln:estrier-1
8319982,fl:ke_ln:imai-15
H1264,fl:th_ln:paoli-2
8226184,fl:ki_ln:song-59
10658993,fl:ge_ln:paulik-1
8145564,fl:je_ln:dennes-1
10745920,fl:li_ln:lu-69
5234904,0019gsqdwzr3c68483mkfspl8
12312162,fl:st_ln:dunn-9
4295065,fl:ri_ln:vaccarella-1
6810083,fl:yi_ln:chen-398
12054908,fl:ry_ln:masuda-6
5495475,fl:pe_ln:franaszek-1
7906217,fl:ha_ln:inagaki-2
8285488,fl:ro_ln:hyde-1
6263276,fl:hi_ln:morita-22
4724241,fl:ro_ln:maerkl-1
6718730,fl:jo_ln:spagua-1
D638818,fl:ji_ln:yao-54
11270810,fl:no_ln:nogami-1
12045885,fl:ke_ln:sampson-3
7726459,fl:go_ln:alves-2
12368034,fl:hi_ln:gunji-2
6480921,fl:ba_ln:mansoorian-2
7587558,fl:ri_ln:jernigan-2
9448095,fl:mi_ln:maher-6
12479177,fl:fr_ln:rouyet-1
11437457,fl:yu_ln:wei-65
9131611,fl:ta_ln:sakai-44
12134428,fl:pr_ln:shankar-7
7897283,fl:hi_ln:matsumoto-39
5543214,fl:pi_ln:groshens-1
4595976,001b693sja7ypgwm2mc34xrtp
9983483,fl:fr_ln:schlesener-1
8420067,fl:sc_ln:henderson-1
7118449,fl:fr_ln:eisert-1
9043781,fl:le_ln:williamson-2
10194565,fl:hu_ln:zhao-18
6511141,fl:ko_ln:hasegawa-15
5778653,fl:fr_ln:stahlecker-1
7571070,fl:ge_ln:banke-1
11010143,fl:ra_ln:bakthavachalam-1
D682391,fl:ri_ln:zhang-8
D963654,fl:we_ln:yan-44
7706641,fl:da_ln:goertzen-2
10389777,fl:su_ln:jung-52
9063041,fl:pa_ln:spooner-1
6062218,fl:ja_ln:bolmgren-1
6713308,fl:fr_ln:lu-10
12509266,fl:ka_ln:missoum-1
6755029,fl:ma_ln:bertrand-5
D938849,fl:mo_ln:anderson-3
D838383,fl:yu_ln:koiso-1
9048942,fl:jo_ln:hershey-2
9972802,fl:hi_ln:taka-3
8598025,fl:lo_ln:steen-1
12099447,fl:ro_ln:gattuso-1
11148857,fl:xi_ln:liu-420
10110536,fl:jo_ln:vincent-30
10846014,fl:ka_ln:kumar-33
7278699,fl:je_ln:folkins-2
11549407,fl:hi_ln:takahashi-78
5298859,fl:al_ln:mceachern-2
12250800,fl:mi_ln:lim-11
D553191,fl:zh_ln:qiu-62
5878501,fl:ro_ln:owens-17
PP14924,fl:an_ln:houbraken-2
7899129,fl:ro_ln:maslennikov-1
9739754,fl:an_ln:banks-1
11223211,fl:be_ln:dittmer-1
9061825,fl:al_ln:ring-1
5084112,fl:ic_ln:tachino-1
11661402,fl:ro_ln:mease-2
5320706,fl:ro_ln:blackwell-3
11881403,fl:ay_ln:higuchi-2
11081718,fl:br_ln:valdes-1
7330645,fl:su_ln:kwon-52
11914480,fl:ch_ln:manjunath-3
7703266,fl:ro_ln:fackler-1
10703640,fl:nu_ln:martingarcia-1
6371017,fl:os_ln:yamazaki-1
9472240,fl:bo_ln:chen-46
5849227,fl:ya_ln:sato-11
9486953,fl:ch_ln:nishio-3
6136643,fl:ja_ln:sung-30
10212203,fl:an_ln:champagne-4
12159066,fl:ha_ln:azechi-1
7797813,fl:yo_ln:ito-14
4356097,fl:an_ln:papay-1
6777361,fl:vo_ln:knoblauch-1
D671675,fl:an_ln:putaggio-1
D303485,fl:je_ln:windom-1
6700446,fl:li_ln:ke-3
D958532,fl:kj_ln:ekman-2
PP16437,fl:go_ln:bartels-2
6767641,fl:yu_ln:tashiro-2
4563441,fl:el_ln:hertzenberg-1
10530030,fl:ch_ln:jou-2
12288558,fl:lu_ln:vegazayas-1
9792215,fl:se_ln:gadelrab-1
11182781,fl:jo_ln:castinado-1
9171953,fl:ja_ln:lee-489
